business_id|cuisine
oh6u1GJ3jFJqQDX1oxIJAg|Chinese
AEkpyAGcVe5NgH2Nb7fCNQ|Chinese
bKXnm2k44mSdU0fP69lY-g|Chinese
MD-GiizNpmFbuDIdKGzXnA|Chinese
7g1pN6JgTf03ts4Jupgdmw|Chinese
2rSmA4IK51QAQj60YGvjnw|Chinese
oyxk3hv9F7dGZGARmNDSYg|Chinese
cCHkQ5oISNafWnLoBpsagg|Chinese
wPL0epJzosoFRYox1a5lvA|Chinese
C0uaRMiXCCtjXdQSZhaU_A|Chinese
d8qCvlsG3jwxQPZc_OGogQ|Chinese
CgMgIB_XO4YXJp_MNtB-2g|Chinese
