business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
62Kedrco374IuZ_OFb0BxA|2022-07-20 04:03:52.245107|3 Times|['818 Broadway', 'New York, NY 10003']|40.73285,-73.99104|196|4.0|10003|Chinese
LDScBEu3splSQlhGBEH2hg|2022-07-20 04:03:52.245120|Bao by Kaya|['570 Lexington Ave', 'New York, NY 10022']|40.7569200941962,-73.9723208919168|197|4.0|10022|Chinese
XaEFFUabnbH8ZF7ccmSAlQ|2022-07-20 04:03:52.245135|South Of The Clouds|['16 W 8th St', 'New York, NY 10011']|40.73264,-73.99752|230|4.0|10011|Chinese
HR_a2QSA_KJZIakufAJUmg|2022-07-20 04:03:52.245148|Szechuan Gourmet|['21 W 39th St', 'New York, NY 10018']|40.75226532620614,-73.98361050137848|34|4.5|10018|Chinese
UaQF4mv6hVjiegkwUvQeMQ|2022-07-20 04:03:53.543914|Dim Sum Chelsea|['236 8th Ave', 'New York, NY 10011']|40.744624,-73.998649|138|4.5|10011|Chinese
iSjPBJRiWqrgxW7ZM3CGig|2022-07-20 04:03:53.543960|Birds of a Feather|['191 Grand St', 'Brooklyn, NY 11211']|40.71442,-73.960441|493|4.0|11211|Chinese
Vzx-7-jSEBz2g8NuGVhHvQ|2022-07-20 04:03:53.543978|Philippe By Philippe Chow|['33 E 60th St', 'New York, NY 10065']|40.76409,-73.97039|834|3.5|10065|Chinese
v2dtG37r1ThqtfEfiFsAUg|2022-07-20 04:03:53.543993|Shanghai Mong|['30 W 32nd St', 'New York, NY 10001']|40.7476119995117,-73.9871597290039|598|3.0|10001|Chinese
BtsXojrMtfLRhhFK7rm35A|2022-07-20 04:03:53.544009|Hupo|['1007 50th Ave', 'Long Island City, NY 11101']|40.742827,-73.953575|175|4.5|11101|Chinese
oTkzgr7hzOAdlP99Auj3GQ|2022-07-20 04:03:53.544023|Momosan Ramen & Sake - New York|['342 Lexington Ave', 'New York, NY 10016']|40.74993,-73.97746|1752|4.0|10016|Chinese
rGUv1nNmsvy2jOlZtbaOpw|2022-07-20 04:03:53.544038|Dimsum Garden|['338 Lexington Ave', 'New York, NY 10016']|40.74979,-73.97743|27|4.5|10016|Chinese
RYoc4EBUNOtgbg7c32OG9A|2022-07-20 04:03:53.544052|Atoboy|['43 E 28th St', 'New York, NY 10016']|40.74364,-73.98456|504|4.5|10016|Chinese
0vg2Z-HPwkyVVX613j2ysg|2022-07-20 04:03:53.544066|Peng's Noodle Folk|['1659 1st Ave', 'New York, NY 10028']|40.77726,-73.94932|516|4.5|10028|Chinese
SyvC0s3y0ZrtnLbwnvw7tw|2022-07-20 04:03:53.544079|Tim Ho Wan|['85 4th Ave', 'New York, NY 10003']|40.731338,-73.990145|1804|3.5|10003|Chinese
H1jops1lmuhrq9lP7lEGJQ|2022-07-20 04:03:53.544094|Flor De Mayo|['484 Amsterdam Ave', 'New York, NY 10024']|40.78609,-73.97658|1265|4.0|10024|Chinese
TzhAlljC_843JO7UDDUIaQ|2022-07-20 04:03:53.544107|The Tang - Upper West Side|['920 Amsterdam Ave', 'New York, NY 10025']|40.80006,-73.96639|259|4.5|10025|Chinese
Va_mnsEvBghHXvc7uZIWJQ|2022-07-20 04:03:53.544121|Spice Symphony|['182 Lexington Ave', 'New York, NY 10016']|40.744722,-73.981202|639|4.0|10016|Chinese
7ZQSMqWzvXMSetXnii2fBg|2022-07-20 04:03:53.544134|Excellent Dumpling House|['165 W 23rd St', 'New York, NY 10011']|40.7440494396358,-73.995028194335|718|4.0|10011|Chinese
7iY35991NhQ1AShJZCNZgA|2022-07-20 04:03:53.544149|Sakagura|['211 E 43rd St', 'New York, NY 10017']|40.7516467024541,-73.9729489318165|1828|4.0|10017|Chinese
83BXSwE0166sObnXLUE4bQ|2022-07-20 04:03:53.544164|Land|['450 Amsterdam Ave', 'New York, NY 10024']|40.78497,-73.9772182|1093|4.0|10024|Chinese
uiQ6p_3biJD5S4PrF58t_g|2022-07-20 04:03:53.544177|Szechuan Gourmet|['21 W 39th St', 'New York, NY 10018']|40.75226727202543,-73.9836107151638|841|3.5|10018|Chinese
wzmeaMTm5cZ1JCjep7iQeA|2022-07-20 04:03:53.544192|ZLS BBQ|['219 E 23rd St', 'New York, NY 10010']|40.73852,-73.98201|27|4.5|10010|Chinese
SBJHGtqJyfaU47NPjGAU6A|2022-07-20 04:03:53.544206|China Jade|['1643 2nd Ave', 'New York, NY 10028']|40.777392,-73.952329|200|3.5|10028|Chinese
LQHegfNHe7ylY3bocrFlpg|2022-07-20 04:03:53.544219|Calle Dao - Bryant Park|['38 W 39th St', 'New York, NY 10018']|40.752235935786075,-73.98420136665423|1803|4.0|10018|Chinese
_saXnBy0Wq2Gb3YusWZhqw|2022-07-20 04:03:53.544234|Five Senses|['9 W 32nd St', 'New York, NY 10001']|40.747573158626,-73.9863122632311|1591|4.0|10001|Chinese
MdDj13LgIs0WdbIdiyqB7Q|2022-07-20 04:03:53.544248|Pinch Chinese|['177 Prince St', 'New York, NY 10012']|40.72645222833495,-74.0017973317552|418|4.0|10012|Chinese
kwq1W0opBnOYKoUXWYyQ5g|2022-07-20 04:03:53.544263|Momokawa|['1466 1st Ave', 'New York, NY 10075']|40.77047,-73.9537|209|4.0|10075|Chinese
xLJnT-pB4VECJzmUf1Whpg|2022-07-20 04:03:53.544276|3 Times|['90 Clinton St', 'New York, NY 10002']|40.718271,-73.985209|195|4.0|10002|Chinese
riEXluKIJm3Behd9WA5Y5w|2022-07-20 04:03:53.544289|Han Dynasty|['307 W 38th St', 'Kitchen United', 'New York, NY 10018']|40.75505,-73.99216|8|3.0|10018|Chinese
u0qfikB-ppp6UwoNKqxlRw|2022-07-20 04:03:53.544303|Flame|['100 W 82nd St', 'New York, NY 10024']|40.78396,-73.97444|484|4.0|10024|Chinese
z5f--L8_vB_WvSaRca7LQQ|2022-07-20 04:03:53.544317|Mala House|['22 E 21st St', 'New York, NY 10017']|40.73945005575927,-73.98913809999999|20|5.0|10017|Chinese
f7jZvRH-h76F4emzvKytaQ|2022-07-20 04:03:53.544331|Tuk Tuk|['4906 Vernon Blvd', 'Long Island City, NY 11101']|40.743232,-73.954254|738|4.0|11101|Chinese
-OixbLnFLCzQclxCSbUQ8w|2022-07-20 04:03:53.544345|Up Thai|['1411 2nd Ave', 'New York, NY 10021']|40.7698275926665,-73.9576330868512|2707|4.5|10021|Chinese
ynIx549QFj29o84y1RSGyw|2022-07-20 04:03:53.544359|Bao Bao Cafe|['61 Lexington Ave', 'Unit B', 'New York, NY 10010']|40.740829,-73.983474|499|4.0|10010|Chinese
BKMCAYb9EAivUm3p-vrC9w|2022-07-20 04:03:53.544373|Khe-Yo|['157 Duane St', 'New York, NY 10013']|40.716906,-74.008587|902|4.0|10013|Chinese
85wkGMKbHV0RdTGIWpep5A|2022-07-20 04:03:53.544387|Zen Pot|['242 W 56th St', 'New York, NY 10019']|40.765612,-73.982937|15|4.5|10019|Chinese
Dqp5Itsj9dN0Ewz8Gm853g|2022-07-20 04:03:53.544400|Philippe Downtown|['355 W 16th St', 'New York, NY 10011']|40.74213,-74.0038|136|4.0|10011|Chinese
gJXNSJ9VXTuCFmp_Kl9TVQ|2022-07-20 04:03:53.544413|Shanghai|['1388 2nd Ave', 'New York, NY 10021']|40.768291,-73.958381|119|4.0|10021|Chinese
HOfNVzn45dwctTOCLVPj2g|2022-07-20 04:03:53.544427|So Do Fun|['155 3rd Ave', 'New York, NY 10003']|40.73415,-73.98633|24|4.0|10003|Chinese
0eLtFI6MeEYM2rlMtcjRaQ|2022-07-20 04:03:53.544440|IZAKAYA E.A.K. Hell's Kitchen|['360 W 46th St', 'New York, NY 10036']|40.76054,-73.99018342883555|195|4.0|10036|Chinese
44SY464xDHbvOcjDzRbKkQ|2022-07-20 04:03:53.544454|Ippudo NY|['65 4th Ave', 'New York, NY 10003']|40.73092,-73.99015|10315|4.0|10003|Chinese
uaFHoq-a5XqxF-bsOK9_Qg|2022-07-20 04:03:53.544468|Real Kung Fu Little Steamed Buns Ramen|['811 8th Ave', 'New York, NY 10019']|40.7616286634162,-73.98688|1078|3.5|10019|Chinese
U74_3F7r3tMhd6dmTmDBxQ|2022-07-20 04:03:53.544482|Macao Trading Company|['311 Church St', 'New York, NY 10013']|40.719623,-74.003904|808|4.0|10013|Chinese
f_vDVYSk-VUnlGTvgtBwkQ|2022-07-20 04:03:53.544496|Noodlecraft|['10-39 47th Rd', 'Long Island City, NY 11101']|40.74471,-73.95182|106|4.5|11101|Chinese
rBUTVjRs5CcEMe3dfVRZJQ|2022-07-20 04:03:53.544510|Ho Foods|['110 E 7th St', 'New York, NY 10009']|40.72634,-73.98478|375|4.0|10009|Chinese
3gqKLANaXNsHZnPDjKrcTg|2022-07-20 04:03:53.544523|Win Son|['159 Graham Ave', 'Brooklyn, NY 11206']|40.70747,-73.94339|616|4.0|11206|Chinese
